localidad	seccion	em2023	m2023	h2023	h2022	h2021	h2020	h2019	h2018	h2017	h2016	h2015	p2023
Cartagena	3001601001	44,8	23,3	36,8	37,4	37,5	34,4	35,2	36,4	33,4	34,2	35,5	1.113
Cartagena	3001601002	45,7	21,5	38,0	38,4	36,5	36,4	36,7	36,2	36,2	38,3	37,1	1.301
Cartagena	3001601004	40,5	13,6	32,3	31,9	31,4	33,2	33,0	31,5	32,6	30,5	31,9	1.646
Cartagena	3001602001	40,7	15,2	24,2	25,5	25,8	24,9	23,6	23,8	25,6	24,6	25,4	1.223
Cartagena	3001602002	42,8	16,0	39,9	38,9	41,9	43,2	42,1	41,6	41,6	41,3	41,7	893
Cartagena	3001602004	46,9	27,3	31,4	29,8	28,9	26,4	25,7	26,8	26,8	25,1	22,8	1.234
Cartagena	3001602005	43,6	19,9	24,9	24,4	22,1	23,3	22,7	22,2	22,2	22,9	22,3	1.065
Cartagena	3001602006	43,6	22,1	40,3	41,9	40,6	40,5	41,7	41,7	42,8	39,3	38,4	1.112
Cartagena	3001602007	46,7	26,7	35,3	36,7	34,2	33,6	33,8	31,7	30,9	29,5	30,9	1.100
Cartagena	3001602008	45,8	24,4	30,2	33,5	32,5	31,3	32,0	31,9	30,8	31,6	31,6	1.347
Cartagena	3001602010	39,6	13,7	24,5	24,5	24,3	26,5	26,2	25,6	26,3	25,1	25,5	1.384
Cartagena	3001602011	47,3	30,6	27,5	24,0	26,8	26,7	26,2	25,5	27,7	25,6	25,5	1.335
Cartagena	3001602012	49,1	31,8	26,1	29,1	28,2	26,5	23,4	23,5	22,1	22,9	22,3	666
Cartagena	3001602013	39,7	11,1	24,8	25,1	24,5	24,0	26,5	25,2	25,8	24,4	24,3	1.616
Cartagena	3001602014	43,3	18,7	23,7	23,0	22,4	22,1	18,8	20,1	17,3	15,8	15,4	772
Cartagena	3001603001	43,7	20,9	33,3	35,8	34,9	35,6	35,7	34,1	32,8	31,3	31,6	1.053
