localidad	seccion	em2023	m2023	h2023	h2022	h2021	h2020	h2019	h2018	h2017	h2016	h2015	p2023
Murcia	3003001001	40,1	12,6	25,4	25,1	25,1	24,2	27,5	27,1	26,8	28,4	29,3	1.127
Murcia	3003001002	46,1	26	22,9	22	20,8	21,7	20,9	19,2	17,6	16,1	17,6	780
Murcia	3003001003	45,3	23,7	29,5	28,1	25,1	25,1	23,3	23,2	21,9	20,7	21,3	1.121
Murcia	3003001004	40,5	14,6	26,4	26,5	25,8	23,8	23	22,2	24,1	24,2	24,8	1.346
Murcia	3003001005	40,7	12,9	23,8	23,1	24,6	22,8	24,3	22,9	21,7	23,3	23,5	1.282
Murcia	3003001006	42,1	17	26,9	25,3	23,5	24,3	25,3	26,4	25,2	24,1	25,5	1.257
Murcia	3003001007	47,9	32	27,5	25,6	22,8	25,2	22	22,5	23,7	23,8	23,4	768
Murcia	3003001008	46,3	24,4	30,1	29,6	30,2	30,5	31,4	28,8	27,2	24,5	24,3	730
Murcia	3003001009	42	17,2	27,4	29,3	29,4	29,3	29,4	31	29,6	28,4	27,8	1.216
Murcia	3003001010	45,5	26,6	25,2	24,1	25,9	23,3	23,8	23,7	24,1	23,9	23	896
Murcia	3003001011	49,7	33,2	32,5	32,1	31,9	30	29,1	27,3	26,2	27,1	25,8	893
Murcia	3003001012	48,6	29,5	25,5	22,9	21,7	23,6	22,6	22,4	21,4	20,2	20,4	828
Murcia	3003001013	44,2	20,7	35	33,2	32,1	30,6	29,7	31,3	29,5	32,1	31,4	861
Murcia	3003001014	44,2	20,1	34,1	35,8	34,4	34,4	32,1	32,6	35,3	36	37,4	762
Murcia	3003001015	47,2	27,9	26,4	27,6	29,5	28,1	28,4	27,6	26	23,9	26,9	1.033
Murcia	3003001016	47,4	27,5	32,2	29,5	28,2	27,9	29,5	31	28,1	28,8	28,3	792
Murcia	3003001018	46,9	29,5	27,4	27,7	24,5	23	23,4	25,1	26,3	23,6	20,6	577
Murcia	3003001019	46,5	27,1	28,8	30,1	31,1	33,6	32,9	32,5	31,3	31,9	30,5	981
Murcia	3003001020	47,8	28,1	28,9	27,5	27,8	31,1	30,3	27,9	29,2	26,9	24,3	748
Murcia	3003001021	45,1	24	27,9	31,5	29	28,4	28	27,9	25,1	25,1	25,3	1.152
Murcia	3003001022	48,4	31	34,5	33,8	32,4	30,1	31,4	29,9	31,3	31,1	31,8	1.103
Murcia	3003001023	46,2	26,3	35,1	34	32,4	33,9	29,8	32	29,3	31,1	29,9	762
Murcia	3003001024	50,4	31,8	33	31,5	32,1	27	24,7	26,4	26,6	26,4	25,3	652
Murcia	3003001025	44,1	20,3	23	25,7	25,9	20,5	23,9	21,6	22,2	22,5	21,2	1.089
Murcia	3003001026	43,4	22	29,9	29,1	30,3	28,9	29,3	30,1	27,8	28	27,9	1.104
Murcia	3003001027	46,8	25,9	37,6	36,1	35,3	36,9	37,1	34,6	32,1	32,9	33,9	1.189
Murcia	3003001028	45,3	25,3	25,7	26	25,8	27,7	26,5	27	27,8	26,2	26	736
Murcia	3003001029	42,4	18,5	29,5	26,9	29,5	29,3	30,4	29	30,9	30,2	31,8	1.125
Murcia	3003001030	46,8	27,6	37,5	36,5	37,4	37,1	35,3	35,8	36,1	35,3	33,8	940
Murcia	3003001031	49,8	32,7	34,6	33,9	32,3	31,7	30,8	30,5	29,7	28,6	28,8	816
Murcia	3003001032	46,6	26,9	29,7	29,4	27,8	30,4	31	30,6	30,3	29,2	27,3	703
Murcia	3003001033	40,7	15,1	25,7	26,6	25,3	24	23,5	21,1	21,1	20,1	22,9	955
Murcia	3003001034	43,9	20,2	25,4	25,1	27,7	26,1	25,4	29,2	28	26,9	25,6	1.016
Murcia	3003001035	46,9	26,1	36	32,5	31,7	30,1	32,3	31,3	34	30,4	28,9	800
Murcia	3003001036	45,7	21,4	24,7	25	24,6	24,3	23,6	21,1	21,3	20,8	22,5	980
Murcia	3003001037	44,7	22,5	34,6	38,5	36	33,5	36,2	35,4	38,9	35,2	33,1	974
Murcia	3003001038	41,9	16,7	30,5	29,4	31,3	28,8	28,4	29,8	28,3	27,9	28,7	1.448
Murcia	3003001040	41,2	14,9	29,9	30,3	28,7	27,9	28,2	29,8	28,4	27,8	28,5	1.553
Murcia	3003001041	42,4	19,8	32,1	30,6	27,9	28,4	27,7	28,7	28,9	26,7	27,5	787
Murcia	3003001042	38,2	15,8	20,9	20,8	21,2	21,8	22,5	21,4	22,7	21,3	22,5	1.199
Murcia	3003001043	39,6	16,9	26,3	26,1	26,2	22,4	23,6	23,7	23	24,6	23	818
Murcia	3003001044	39,1	14,4	31,5	30,9	32,3	29,6	27,7	28,6	27,1	28,4	29,3	1.072
Murcia	3003001046	40,2	16,1	34	31,9	33,5	32,9	30,3	28,6	28,7	28,9	28,6	920
Murcia	3003001047	43,3	19,2	28,4	29,9	27	27,8	28	27,5	26	26,3	25,9	1.133
Murcia	3003001048	49,3	34,1	22,7	22	19,5	19,3	18	19	18,8	19,7	16,8	857
Murcia	3003001049	40,8	15,7	23,4	21,7	21,6	22,6	21,8	21,7	20,8	22,6	23,5	1.062
Murcia	3003001050	44,3	22,1	24,8	25,4	27	27,6	25,6	26,1	27,1	28,8	28,9	959
