id	localidad	secc_codigo	x2022	x2019	diff2019
3000101001	Abanilla	sección 01001	14350	12950	10,81
3000101002	Abanilla	sección 01002	16450	14350	14,63
3000101003	Abanilla	sección 01003	17150	15050	13,95
3000102001	Abanilla	sección 02001	15050	12950	16,22
3000102002	Abanilla	sección 02002	13650	12950	5,41
3000102003	Abanilla	sección 02003	17850	15050	18,60
3000201001	Abarán	sección 01001	15050	14350	4,88
3000201002	Abarán	sección 01002	14350	13650	5,13
3000201003	Abarán	sección 01003	17850	15750	13,33
3000201004	Abarán	sección 01004	14350	12950	10,81
3000201005	Abarán	sección 01005	13650	12950	5,41
3000201006	Abarán	sección 01006	12950	11550	12,12
3000201007	Abarán	sección 01007	15050	13650	10,26
3000201008	Abarán	sección 01008	15050	12950	16,22
3000201009	Abarán	sección 01009	16450	14350	14,63
3000201010	Abarán	sección 01010	16450	14350	14,63
3000201011	Abarán	sección 01011	13650	12250	11,43
3000201012	Abarán	sección 01012	14700	13650	7,69
3000301001	Águilas	sección 01001	15050	12950	16,22
3000301002	Águilas	sección 01002	15750	13650	15,38
3000301003	Águilas	sección 01003	12950	12250	5,71
3000301004	Águilas	sección 01004	13650	12250	11,43
3000301005	Águilas	sección 01005	13650	12950	5,41
3000301006	Águilas	sección 01006	12950	11550	12,12
3000301007	Águilas	sección 01007	14350	12950	10,81
3000301008	Águilas	sección 01008	12950	12250	5,71
3000301009	Águilas	sección 01009	19950	18550	7,55
3000301010	Águilas	sección 01010	12950	12950	0,00
3000301011	Águilas	sección 01011	14350	12250	17,14
3000301012	Águilas	sección 01012	12950	12950	0,00
3000301013	Águilas	sección 01013	13650	11550	18,18
3000301014	Águilas	sección 01014	12950	12950	0,00
3000301015	Águilas	sección 01015	15050	13650	10,26
3000301016	Águilas	sección 01016	19250	17150	12,24
3000301017	Águilas	sección 01017	8750	7350	19,05
3000301018	Águilas	sección 01018	13650	11550	18,18
3000301019	Águilas	sección 01019	18550	15750	17,78
3000301020	Águilas	sección 01020	15050	12950	16,22
3000301021	Águilas	sección 01021	15050	13650	10,26
3000301022	Águilas	sección 01022	15050	13650	10,26
3000301023	Águilas	sección 01023	13650	12250	11,43
3000301024	Águilas	sección 01024	15750	15050	4,65
3000301025	Águilas	sección 01025	13650	12950	5,41
3000301026	Águilas	sección 01026	15050	12950	16,22
3000301027	Águilas	sección 01027	13650	12950	5,41
3000301028	Águilas	sección 01028	13650	12250	11,43
3000301029	Águilas	sección 01029	17150	15050	13,95
3000301030	Águilas	sección 01030	16450	14350	14,63
3000401001	Albudeite	sección 01001	13650	12950	5,41
3000501001	Alcantarilla	sección 01001	13650	12950	5,41
3000501002	Alcantarilla	sección 01002	14350	13650	5,13
3000501003	Alcantarilla	sección 01003	15750	14350	9,76
3000501004	Alcantarilla	sección 01004	15050	13650	10,26
3000501005	Alcantarilla	sección 01005	16450	15050	9,30
3000501006	Alcantarilla	sección 01006	15750	12950	21,62
3000501007	Alcantarilla	sección 01007	13650	11550	18,18
3000501008	Alcantarilla	sección 01008	14350	13650	5,13
3000501009	Alcantarilla	sección 01009	15750	14350	9,76
3000501010	Alcantarilla	sección 01010	19250	17150	12,24
3000501011	Alcantarilla	sección 01011	13650	12250	11,43
3000501012	Alcantarilla	sección 01012	14350	12950	10,81
3000501013	Alcantarilla	sección 01013	10850	9450	14,81
3000501014	Alcantarilla	sección 01014	17150	15050	13,95
3000501015	Alcantarilla	sección 01015	14350	12950	10,81
3000501016	Alcantarilla	sección 01016	16450	14350	14,63
3000501017	Alcantarilla	sección 01017	14350	12950	10,81
3000501018	Alcantarilla	sección 01018	15050	13650	10,26
3000501019	Alcantarilla	sección 01019	17150	16450	4,26
3000501020	Alcantarilla	sección 01020	14350	12950	10,81
3000501021	Alcantarilla	sección 01021	15050	13650	10,26
3000501022	Alcantarilla	sección 01022	16450	15050	9,30
3000501023	Alcantarilla	sección 01023	12950	12250	5,71
3000501024	Alcantarilla	sección 01024	13650	12250	11,43
3000501025	Alcantarilla	sección 01025	17150	15750	8,89
3000501026	Alcantarilla	sección 01026	17150	14350	19,51
3000601001	Aledo	sección 01001	17150	15050	13,95
3000701001	Alguazas	sección 01001	16450	15050	9,30
3000701002	Alguazas	sección 01002	13650	12250	11,43
3000701003	Alguazas	sección 01003	9450	8050	17,39
3000701004	Alguazas	sección 01004	14350	12950	10,81
3000701005	Alguazas	sección 01005	15050	12950	16,22
3000701006	Alguazas	sección 01006	15750	15050	4,65
3000701007	Alguazas	sección 01007	12950	12250	5,71
3000701008	Alguazas	sección 01008	15050	13650	10,26
3000801001	Alhama de Murcia	sección 01001	16450	14700	11,90
3000801002	Alhama de Murcia	sección 01002	13650	12250	11,43
3000801003	Alhama de Murcia	sección 01003	14350	12950	10,81
3000801004	Alhama de Murcia	sección 01004	20650	17850	15,69
3000801005	Alhama de Murcia	sección 01005	12950	11550	12,12
3000801006	Alhama de Murcia	sección 01006	15750	15050	4,65
3000801007	Alhama de Murcia	sección 01007	15750	14350	9,76
3000801008	Alhama de Murcia	sección 01008	17850	17150	4,08
3000801009	Alhama de Murcia	sección 01009	20650	18550	11,32
